Entity,Code,Year,12.1.1 - Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO) - SG_SCP_CNTRY
Africa (UN),,2019,1
Africa (UN),,2020,1
Africa (UN),,2021,4
Africa (UN),,2023,3
Argentina,ARG,2019,1
Asia (UN),,2019,7
Asia (UN),,2020,3
Asia (UN),,2021,3
Asia (UN),,2022,1
Asia (UN),,2023,3
Australia,AUS,2023,1
Australia and New Zealand (UN),,2023,1
Barbados,BRB,2019,1
Belgium,BEL,2021,1
Bhutan,BTN,2019,1
Bulgaria,BGR,2021,1
Cambodia,KHM,2023,1
Central and Southern Asia (UN),,2019,4
Central and Southern Asia (UN),,2021,1
Chad,TCD,2021,1
Chile,CHL,2021,1
China,CHN,2019,1
Colombia,COL,2019,1
Costa Rica,CRI,2022,1
Cote d'Ivoire,CIV,2019,1
Croatia,HRV,2021,1
Cuba,CUB,2020,1
Czechia,CZE,2019,1
Democratic Republic of Congo,COD,2021,1
Eastern and South-Eastern Asia (UN),,2019,3
Eastern and South-Eastern Asia (UN),,2020,2
Eastern and South-Eastern Asia (UN),,2021,1
Eastern and South-Eastern Asia (UN),,2023,3
Ecuador,ECU,2020,1
El Salvador,SLV,2019,1
Europe (UN),,2019,3
Europe (UN),,2020,5
Europe (UN),,2021,8
Europe (UN),,2022,1
Europe (UN),,2023,5
Europe and Northern America (UN),,2019,3
Europe and Northern America (UN),,2020,5
Europe and Northern America (UN),,2021,8
Europe and Northern America (UN),,2022,1
Europe and Northern America (UN),,2023,6
Finland,FIN,2020,1
France,FRA,2023,1
Germany,DEU,2021,1
Guatemala,GTM,2019,1
Honduras,HND,2020,1
Hungary,HUN,2023,1
India,IND,2019,1
Indonesia,IDN,2020,1
Jordan,JOR,2021,1
Laos,LAO,2023,1
Latin America and the Caribbean (UN),,2019,5
Latin America and the Caribbean (UN),,2020,6
Latin America and the Caribbean (UN),,2021,1
Latin America and the Caribbean (UN),,2022,1
Latvia,LVA,2020,1
Least Developed Countries (LDCs),,2020,1
Least Developed Countries (LDCs),,2021,2
Least Developed Countries (LDCs),,2023,4
Lithuania,LTU,2019,1
Maldives,MDV,2019,1
Mexico,MEX,2020,1
Mongolia,MNG,2019,1
Morocco,MAR,2021,1
Mozambique,MOZ,2023,1
Netherlands,NLD,2020,1
Niger,NER,2023,1
Northern Africa (UN),,2021,2
Northern Africa and Western Asia (UN),,2020,1
Northern Africa and Western Asia (UN),,2021,3
Northern Africa and Western Asia (UN),,2022,1
Northern America (UN),,2023,1
Norway,NOR,2023,1
Oceania (UN),,2023,1
Pakistan,PAK,2019,1
Peru,PER,2020,1
Philippines,PHL,2023,1
Poland,POL,2020,1
Romania,ROU,2020,1
Saint Lucia,LCA,2020,1
Senegal,SEN,2020,1
Serbia,SRB,2022,1
Singapore,SGP,2020,1
Slovakia,SVK,2021,1
Slovenia,SVN,2021,1
Small Island Developing States (SIDS),,2019,2
Small Island Developing States (SIDS),,2020,3
South Africa,ZAF,2023,1
South Korea,KOR,2019,1
Sri Lanka,LKA,2021,1
Sub-Saharan Africa (UN),,2019,1
Sub-Saharan Africa (UN),,2020,1
Sub-Saharan Africa (UN),,2021,2
Sub-Saharan Africa (UN),,2023,3
Sweden,SWE,2023,1
Switzerland,CHE,2023,1
Thailand,THA,2021,1
Tunisia,TUN,2021,1
Turkey,TUR,2022,1
Ukraine,UKR,2021,1
United Arab Emirates,ARE,2020,1
United Kingdom,GBR,2021,1
United States,USA,2023,1
World,OWID_WRL,2019,16
World,OWID_WRL,2020,15
World,OWID_WRL,2021,16
World,OWID_WRL,2022,3
World,OWID_WRL,2023,13
