Entity,Year,$2.15 a day - Number in poverty
Albania,1996,16944
Albania,2002,33337
Albania,2005,17800
Albania,2008,5892
Albania,2012,18003
Albania,2014,29558
Albania,2015,2767
Albania,2016,4006
Albania,2017,11280
Albania,2018,1379
Albania,2019,0
Albania,2020,604
Algeria,1988,1556402
Algeria,1995,1742570
Algeria,2011,0
Angola,2000,3526425
Angola,2008,3224262
Angola,2018,9790093
Argentina (urban),1980,0
Argentina (urban),1986,294029
Argentina (urban),1987,317837
Argentina (urban),1991,281019
Argentina (urban),1992,491843
Argentina (urban),1993,590224
Argentina (urban),1994,579825
Argentina (urban),1995,1187855
Argentina (urban),1996,1318924
Argentina (urban),1997,1194498
Argentina (urban),1998,1276500
Argentina (urban),1999,1365425
Argentina (urban),2000,1648402
Argentina (urban),2001,2757085
Argentina (urban),2002,4220940
Argentina (urban),2003,1841348
Argentina (urban),2004,1347862
Argentina (urban),2005,944024
Argentina (urban),2006,773974
Argentina (urban),2007,647723
Argentina (urban),2008,597062
Argentina (urban),2009,573190
Argentina (urban),2010,276637
Argentina (urban),2011,267078
Argentina (urban),2012,246057
Argentina (urban),2013,256735
Argentina (urban),2014,235804
Argentina (urban),2016,278340
Argentina (urban),2017,243998
Argentina (urban),2018,426890
Argentina (urban),2019,458763
Argentina (urban),2020,490331
Argentina (urban),2021,377798
Argentina (urban),2022,261255
Armenia,1999,381499
Armenia,2001,437848
Armenia,2002,309467
Armenia,2003,232526
Armenia,2004,163030
Armenia,2005,80129
Armenia,2006,60487
Armenia,2007,46154
Armenia,2008,26245
Armenia,2009,36984
Armenia,2010,28033
Armenia,2011,34710
Armenia,2012,24254
Armenia,2013,50434
Armenia,2014,41590
Armenia,2015,32999
Armenia,2016,31752
Armenia,2017,22406
Armenia,2018,38005
Armenia,2019,29054
Armenia,2020,9876
Armenia,2021,14611
Armenia,2022,21718
Australia,1981,148263
Australia,1985,158090
Australia,1989,125145
Australia,1995,134997
Australia,2001,144061
Australia,2003,196681
Australia,2004,142028
Australia,2008,76759
Australia,2010,76928
Australia,2014,117022
Australia,2016,120650
Australia,2018,124091
Austria,1994,18326
Austria,1995,0
Austria,1996,0
Austria,1997,19600
Austria,1998,19100
Austria,1999,18063
Austria,2000,0
Austria,2003,26980
Austria,2004,6673
Austria,2005,12645
Austria,2006,7451
Austria,2007,30883
Austria,2008,39208
Austria,2009,54752
Austria,2010,41039
Austria,2011,34859
Austria,2012,52006
Austria,2013,28662
Austria,2014,19166
Austria,2015,58528
Austria,2016,58017
Austria,2017,27984
Austria,2018,50246
Austria,2019,56888
Austria,2020,60954
Austria,2021,43509
Azerbaijan,1995,954504
Azerbaijan,2001,499460
Azerbaijan,2002,6497
Azerbaijan,2003,4165
Azerbaijan,2004,0
Azerbaijan,2005,0
Bangladesh,1983,34409348
Bangladesh,1985,31036146
Bangladesh,1988,43319356
Bangladesh,1991,46247348
Bangladesh,1995,40010284
Bangladesh,2000,43048940
Bangladesh,2005,33771944
Bangladesh,2010,27042588
Bangladesh,2016,21520270
Bangladesh,2022,8573862
Belarus,1998,2191998
Belarus,1999,1924362
Belarus,2000,1361461
Belarus,2001,657689
Belarus,2002,433526
Belarus,2003,343901
Belarus,2004,126573
Belarus,2005,86095
Belarus,2006,38283
Belarus,2007,20899
Belarus,2008,15866
Belarus,2009,13133
Belarus,2010,3219
Belarus,2011,622
Belarus,2012,1139
Belarus,2013,0
Belarus,2014,0
Belarus,2015,0
Belarus,2016,0
Belarus,2017,0
Belarus,2018,0
Belarus,2019,0
Belarus,2020,0
Belgium,1985,23678
Belgium,1988,47311
Belgium,1992,98772
Belgium,1995,41805
Belgium,1997,50141
Belgium,2000,31318
Belgium,2003,30549
Belgium,2004,5421
Belgium,2005,20231
Belgium,2006,17820
Belgium,2007,16093
Belgium,2008,12682
Belgium,2009,11615
Belgium,2010,14940
Belgium,2011,18574
Belgium,2012,17390
Belgium,2013,16126
Belgium,2014,8574
Belgium,2015,7977
Belgium,2016,6778
Belgium,2017,16820
Belgium,2018,9269
Belgium,2019,9025
Belgium,2020,6315
Belgium,2021,3472
Belize,1993,26306
Belize,1994,29353
Belize,1996,38183
Belize,1997,45381
Belize,1998,46630
Belize,1999,45515
Benin,2003,4066232
Benin,2011,5329210
Benin,2015,5543934
Benin,2018,2433070
Benin,2021,1687600
Bhutan,2003,84800
Bhutan,2007,39898
Bhutan,2012,12478
Bhutan,2017,7151
Bhutan,2022,12
Bolivia,1997,1264495
Bolivia,1999,1846051
Bolivia,2000,2083498
Bolivia,2001,1664471
Bolivia,2002,1752207
Bolivia,2004,941606
Bolivia,2005,1463492
Bolivia,2006,1192328
Bolivia,2007,919333
Bolivia,2008,824493
Bolivia,2009,882672
Bolivia,2011,550887
Bolivia,2012,683642
Bolivia,2013,555761
Bolivia,2014,466799
Bolivia,2015,513467
Bolivia,2016,633020
Bolivia,2017,564156
Bolivia,2018,380113
Bolivia,2019,226187
Bolivia,2020,372588
Bolivia,2021,237301
Bolivia (urban),1990,43633
Bolivia (urban),1992,371741
Bosnia and Herzegovina,2001,13665
Bosnia and Herzegovina,2004,7505
Bosnia and Herzegovina,2007,2664
Bosnia and Herzegovina,2011,2807
Botswana,1985,485572
Botswana,1993,503277
Botswana,2002,527991
Botswana,2009,364287
Botswana,2015,361796
Brazil,1981,29975124
Brazil,1982,31279672
Brazil,1983,40054072
Brazil,1984,40053452
Brazil,1985,35222284
Brazil,1986,17128184
Brazil,1987,28416396
Brazil,1988,32563110
Brazil,1989,30198166
Brazil,1990,36158712
Brazil,1992,36311204
Brazil,1993,35016836
Brazil,1995,24095676
Brazil,1996,26573710
Brazil,1997,26927420
Brazil,1998,24523454
Brazil,1999,25968708
Brazil,2001,23242706
Brazil,2002,21185508
Brazil,2003,23022010
Brazil,2004,20422522
Brazil,2005,18610434
Brazil,2006,15604586
Brazil,2007,15015059
Brazil,2008,12538463
Brazil,2009,11905237
Brazil,2011,10548393
Brazil,2012,8986021
Brazil,2013,7521300
Brazil,2014,6766963
Brazil,2015,7956117
Brazil,2016,9792223
Brazil,2017,11056501
Brazil,2018,11151597
Brazil,2019,11455808
Brazil,2020,4159606
Brazil,2021,12504996
Brazil,2022,7547388
Bulgaria,1992,0
Bulgaria,2006,443192
Bulgaria,2007,135227
Bulgaria,2008,93746
Bulgaria,2009,97206
Bulgaria,2010,148484
Bulgaria,2011,180678
Bulgaria,2012,168725
Bulgaria,2013,129593
Bulgaria,2014,119940
Bulgaria,2015,245462
Bulgaria,2016,140168
Bulgaria,2017,97065
Bulgaria,2018,61150
Bulgaria,2019,64430
Bulgaria,2020,17187
Bulgaria,2021,48085
Burkina Faso,1994,8336608
Burkina Faso,1998,8951654
Burkina Faso,2003,7128220
Burkina Faso,2009,8239606
Burkina Faso,2014,7195776
Burkina Faso,2018,6450510
Burkina Faso,2021,5683460
Burundi,1992,4310702
Burundi,1998,4852075
Burundi,2006,5501974
Burundi,2013,6723176
Burundi,2020,7615392
Cameroon,1996,6837334
Cameroon,2001,3980906
Cameroon,2007,5735308
Cameroon,2014,5721520
Cameroon,2021,6363852
Canada,1971,494056
Canada,1973,393279
